2012,Somebody That I Used To Know,Call Me Maybe,We Are Young,Payphone,Lights,Glad You Came,Stronger (What Doesn’t Kill You),We Found Love,Starships,What Makes You Beautiful,Wild Ones,Set Fire to the Rain,Sexy and I Know It,Some Nights,Wide Awake,Good Feeling,Whistle,One More Night,Drive By,The Motto,Where Have You Been,Everybody Talks,Take Care,Titanium,I Won't Give Up,It Will Rain,Mercy,Boyfriend,Party Rock Anthem,Too Close,Part of Me,"Young, Wild & Free",We Are Never Ever Getting Back Together,As Long as You Love Me,Turn Me On,Moves like Jagger,Blow Me (One Last Kiss),Good Time,Give Your Heart a Break,Niggas in Paris,The One That Got Away,Feel So Close,Someone like You,Scream,Rack City,Domino,Gangnam Style,International Love,Home,Without You,Ass Back Home,Wanted,Drunk on You,No Lie,Want U Back,Don't Wake Me Up,Dance (A$$),Springsteen,Brokenhearted,Not Over You,Stereo Hearts,Back in Time,Work Out,Rumour Has It,Let's Go,Good Girl,Pontoon,Ho Hey,Paradise,Blown Away,Rolling in the Deep,Climax,"Work Hard, Play Hard",Let Me Love You (Until You Learn to Love Yourself),Pound the Alarm,Come Over,Heart Attack,Drank in My Cup,Birthday Cake,So Good,50 Ways to Say Goodbye,Red Solo Cup,Love You like a Love Song,Turn Up the Music,Die Young,5 O'Clock,A Thousand Years,Take a Little Ride,You da One,We Run the Night,It's Time,Cashin' Out,I Don't Want This Night to End,Diamonds,Hard to Love,Somethin' 'Bout a Truck,Adorn,Fly Over States,Even If It Breaks Your Heart,Burn It Down
2013,Thrift Shop,Blurred Lines,Radioactive,Harlem Shake,Can't Hold Us,Mirrors,Just Give me A Reason,When I Was Your Man,Cruise,Roar,Locked Out of Heaven,Ho Hey,Stay,Get Lucky,Royals,I Knew You Were Trouble,We Can't Stop,Wrecking Ball,Wake Me Up,Suit & Tie,Cups (Pitch Perfect's When I'm Gone),Holy Grail,Scream & Shout,Clarity,Sail,Don't You Worry Child,Diamonds,I Love It,Safe and Sound,Treasure,The Way,Started from the Bottom,Come & Get It,"Hold On, We're Going Home",Daylight,Feel This Moment,Applause,One More Night,Love Me,My Songs Know What You Did in the Dark (Light Em Up),Fuckin' Problems,Beauty and a Beat,Same Love,Sweet Nothing,Summertime Sadness,Home,It's Time,Power Trip,Girl on Fire,Heart Attack,Love Somebody,I Will Wait,Try,Wagon Wheel,Gangnam Style,I Need Your Love,Die Young,Some Nights,Bad,Boys 'Round Here,"Gone, Gone, Gone",Demons,Counting Stars,I Cry,Little Talks,The Other Side,Berzerk,Catch My Breath,Crash My Party,Pour It Up,22,I Want Crazy,The Fox (What Does the Fox Say?),Best Song Ever,The A Team,Carry On,Highway Don't Care,That's My Kind of Night,Swimming Pools (Drank),Sure Be Cool If You Did,#Beautiful,Troublemaker,Body Party,Adorn,Hall of Fame,Let Me Love You (Until You Learn to Love Yourself),U.O.E.N.O.,Next to Me,Mama's Broken Heart,It Goes Like This,Bugatti,Wanted,Downtown,Get Your Shine On,#thatPower,Brave,Let Her Go,Runnin' Outta Moonlight,I'm Different,Still Into You
2014,Happy,Dark Horse,All Of Me,Fancy,Counting Stars,Talk Dirty,Rude,All About That Bass,Problem,Stay WIth Me,Timber,Pompeii,Shake It Off,Am I Wrong,Turn Down for What,The Monster,Say Something,Team,Let Her Go,Royals,Let It Go,Wake Me Up,Demons,Story of My Life,Chandelier,Black Widow,Bang Bang,Latch,Maps,Loyal,Best Day of My Life,Habits (Stay High),Summer,Boom Clap,Drunk in Love,Anaconda,Break Free,Bailando,Burn,Wiggle,Rather Be,Don't Tell 'Em,Show Me,Wrecking Ball,Not a Bad Thing,Roar,Ain't It Fun,The Man,This Is How We Roll,Classic,A Sky Full of Stars,Don't,Na Na,Hot Boy,"Hold On, We're Going Home",Sing,Radioactive,My Hitta,Cool Kids,Hey Brother,Trumpets,Animals,Burnin' It Down,Play It Again,2 On,Dirt,Love Runs Out,Bottoms Up,Shower,Me and My Broken Heart,Animals,Lifestyle,American Kids,Brave,Sweater Weather,Leave the Night On,New Flame,Love Never Felt So Good,Drunk on a Plane,Birthday,Bartender,La La La,Blurred Lines,Do What U Want,Can't Remember to Forget You,Amnesia,No Mediocre,Come with Me Now,Believe Me,23,Beachin',White Walls,She Looks So Perfect,Stay the Night,Partition,Studio,0 to 100 / The Catch Up,I Don't Dance,Somethin' Bad,Adore You
2015,Uptown Funk!,Thinking Out Loud,See You Again,Trap Queen,Sugar,Shut Up And Dance,Blank Space,Watch Me,Earned It,The Hills,Cheerleader (Felix Jaehn Remix),Can't Feel My Face,Love Me Like You Do,Take Me to Church,Bad Blood,Lean On,Want to Want Me,Shake It Off,Where Are Ü Now,Fight Song,679,Lips Are Movin,Worth It,Post to Be,"Honey, I'm Good.",I'm Not the Only One,Good for You,All About That Bass,Style,Hotline Bling,Hey Mama,G.D.F.R.,What Do You Mean?,Photograph,Hello,Stitches,Talking Body,Jealous,Time of Our Lives,Locked Away,Somebody,FourFiveSeconds,Centuries,My Way,Take Your Time,Animals,I Don't Fuck with You,Bitch Better Have My Money,"Flex (Ooh, Ooh, Ooh)",Nasty Freestyle,Only,Elastic Heart,Cool for the Summer,Renegades,I Don't Mind,Love Me Harder,Wildest Dreams,Stay with Me,You Know You Like It,Uma Thurman,45118,The Heart Wants What It Wants,Girl Crush,Slow Motion,Drag Me Down,Truffle Butter,One Last Time,Chains,All Eyes on You,No Type,Riptide,Classic Man,Ex's & Oh's,Dear Future Husband,Marvin Gaye,Like I'm Gonna Lose You,Habits (Stay High),The Hanging Tree,CoCo,Bang Bang,Lay Me Down,Tuesday,Hit the Quan,Downtown,House Party,Ayo,Kick the Dust Up,Blessings,Budapest,Chandelier,Heartbeat Song,Don't,Ghost,Here,Waves (Robin Schulz Remix),El Perdón,She Knows,Night Changes,Back to Back,How Deep Is Your Love
2016,Love Yourself,Sorry,One Dance,Work,Stressed Out,Panda,Hello,Don't Let Me Down,Can't Stop The Feeling!,Closer,Cheap Thrills,7 Years,Needed Me,My House,I Took a Pill in Ibiza,Work from Home,This Is What You Came For,Cake by the Ocean,"Me, Myself & I",Ride,Heathens,Pillowtalk,Stitches,Hotline Bling,Cold Water,Send My Love (To Your New Lover),Roses,Treat You Better,Too Good,Low Life,What Do You Mean?,The Hills,Just Like Fire,Broccoli,Don't,Dangerous Woman,Jumpman,"I Hate U, I Love U",Here,Same Old Love,Controlla,Like I'm Gonna Lose You,One Call Away,Let It Go,No,Never Forget You,Let Me Love You,Don't Mind,H.O.L.Y.,We Don't Talk Anymore,Into You,Gold,Exchange,679,Oui,Hands to Myself,2 Phones,Starboy,For Free,Never Be Like You,In the Night,Me Too,Ex's & Oh's,Die a Happy Man,White Iverson,Close,Unsteady,Sucker for Pain,Down in the DM,Luv,Sorry,Can't Feel My Face,Hymn for the Weekend,Say It,Antidote,Lost Boy,Side to Side,"Sit Still, Look Pretty",Wildest Dreams,Middle,On My Mind,Pop Style,When We Were Young,Hide Away,Lean On,I Know What You Did Last Summer,All the Way Up,Watch Me,Back to Sleep,No Limit,Cut It,Really Really,All In My Head (Flex),Starving,Adventure of a Lifetime,Humble and Kind,Wicked,Tiimmy Turner,See You Again,Perfect
2017,Shape of You,Despacito,Thats what I like,Humble,Something Just Like This,Bad and Boujee,Closer,Body Like A Back Road,Believer,Congratulations,Say You Won't Let Go,I'm the One,XO Tour Llif3,Mask Off,Unforgettable,24K Magic,Stay,Wild Thoughts,Black Beatles,Starboy,Location,Attention,There's Nothing Holdin' Me Back,Bodak Yellow,Redbone,I Don't Wanna Live Forever,It Ain't Me,iSpy,Issues,Scars to Your Beautiful,1-800-273-8255,Slow Hands,Love on the Brain,I Feel It Coming,Bounce Back,Strip That Down,Fake Love,Don't Wanna Know,Look What You Made Me Do,Castle on the Hill,Bad Things,Paris,Side to Side,Rockabye,Feel It Still,Let Me Love You,Sorry Not Sorry,Bank Account,Can't Stop the Feeling!,Mi Gente,Thunder,T-Shirt,Rake It Up,Mercy,Tunnel Vision,Rockstar,In Case You Didn't Know,Heathens,Now or Never,Caroline,Rolex,DNA,Juju on That Beat (TZ Anthem),Swang,Passionfruit,Loyalty,Praying,Goosebumps,Cold,Broccoli,Slide,What Ifs,Chained to the Rhythm,Feels,All Time Low,Hurricane,Too Good at Goodbyes,Young Dumb & Broke,Magnolia,Love Galore,Drowning,Starving,Both,What About Us,Swalla,Slippery,Sign of the Times,Water Under the Bridge,Malibu,Down,No Promises,Treat You Better,I Get the Bag,Small Town Boy,Everyday We Lit,Havana,What Lovers Do,Do Re Mi,Look at Me!,The Fighter
2018,God's Plan,Perfect,Meant to Be,Havana,Rockstar,Psycho,I Like It,The Middle,In My Feelings,Girls Like You,Nice for What,Lucid Dreams,Better Now,Finesse,Boo'd Up,New Rules,Sad!,Never Be the Same,Love Lies,No Tears Left to Cry,Mine,Thunder,Look Alive,Delicate,Yes Indeed,Friends,Bad at Love,Taste,Let You Down,No Limit,Fefe,Tequila,Feel It Still,MotorSport,I Like Me Better,Youngblood,Whatever It Takes,Ric Flair Drip,I Fall Apart,Pray for Me,Back to You,Sicko Mode,Walk It Talk It,Gucci Gang,Him & I,In My Blood,All the Stars,Stir Fry,Too Good at Goodbyes,Love,This Is America,Nonstop,Heaven,Bodak Yellow,Freaky Friday,Gummo,Plug Walk,Wait,Be Careful,Wolves,Bartier Cardi,God Is a Woman,Big Bank,Sorry Not Sorry,How Long,Lights Down Low,Young Dumb & Broke,One Kiss,Natural,You Make It Easy,Shape of You,I Get the Bag,No Brainer,Plain Jane,Sky Walker,Marry Me,Eastside,Call Out My Name,King's Dead,Happier,Te Boté,Simple,Lemon,1-800-273-8255,Say Something,I'm Upset,Get Along,Moonlight,What Lovers Do,X,Outside Today,Trip,Dura,Changes,Mercy,One Number Away,Powerglide,IDGAF,Mi Gente,Believer
2019,Old Town Road,Sunflower,Without Me,Bad Guy,Wow.,Happier,7 Rings,Talk,Sicko Mode,Sucker,High Hopes,"Thank U, Next",Truth Hurts,Dancing with a Stranger,Señorita,I Don't Care,Eastside,Going Bad,Shallow,Better,No Guidance,Girls Like You,Sweet but Psycho,Suge,Middle Child,Drip Too Hard,Someone You Loved,Ransom,If I Can't Have You,Goodbyes,Zeze,Better Now,Youngblood,Money in the Grave,Speechless,"Break Up with Your Girlfriend, I'm Bored",Please Me,Money,You Need to Calm Down,Panini,Look Back at It,A Lot,Me!,Mia,Pop Out,Beautiful Crazy,Thotiana,Lucid Dreams,Mo Bamba,Beautiful People,Wake Up in the Sky,Whiskey Glasses,God's Country,Be Alright,Pure Water,The Git Up,Taki Taki,Close to Me,Envy Me,You Say,"Hey Look Ma, I Made It",Circles,Beer Never Broke My Heart,The London,Con Calma,Murder on My Mind,When the Party's Over,Act Up,I Like It,Trampoline,Leave Me Alone,Breathin,Bury a Friend,Close Friends,Baby Shark,My Type,Worth It,Only Human,Knockin' Boots,Trip,Rumor,Swervin,How Do You Sleep?,Baby,Look What God Gave Her,Good as You,Clout,Love Lies,One Thing Right,Cash Shit,Tequila,Shotta Flow,Hot Girl Summer,Talk You Out of It,Beautiful,Eyes on You,All to Myself,Boyfriend,Walk Me Home,Robbery
2020,Blinding Lights,Circles,The Box,Don't Start Now,Rockstar,Adore You,Life is Good,Memories,The Bones,Someone You Loved,Say So,I Hope,Whats Poppin,Dance Monkey,Savage,Roxanne,Intentions,Everything I Wanted,Roses (Imanbek remix),Watermelon Sugar,Before You Go,Falling,"10,000 Hours",WAP,Ballin',Hot Girl Bummer,Blueberry Faygo,Heartless,Bop,Lose You to Love Me,Good as Hell,Toosie Slide,Break My Heart,Chasin' You,Savage Love (Laxed – Siren Beat),No Guidance,My Oh My,Dynamite,Go Crazy,High Fashion,Laugh Now Cry Later,Woah,Death Bed,Señorita,Highest in the Room,Bad Guy,Mood,Rain on Me,For the Night,Ritmo (Bad Boys for Life),Heart on Ice,Nobody but You,Trampoline,Come & Go,Truth Hurts,If the World Was Ending,We Paid,Yummy,One Man Band,Got What I Got,Sunday Best,Godzilla,Bandit,Party Girl,Die from a Broken Heart,Popstar,All I Want for Christmas Is You,One of Them Girls,Hard to Forget,One Margarita,Panini,Hot,I Hope You're Happy Now,Emotionally Scarred,Suicidal,The Bigger Picture,Only Human,The Woo,Sum 2 Prove,Stuck with U,Mood Swings,You Should Be Sad,Dior,Supalonely,Even Though I'm Leaving,The Scotts,Juicy,Be Like That,Homesick,Rags2Riches,Bluebird,Wishing Well,Does to Me,Pussy Fairy (OTW),ILY (I Love You Baby),More Than My Hometown,Lovin' on You,Said Sum,Slide,Walk Em Down
2021,Levitating,Save Your Tears,Blinding Lights,Mood24kGoldn,Good 4 u,Kiss Me More,Leave the Door Open,Drivers License,Montero (Call me by your name),Peaches,Butter,Stay,Deja Vu,Positions,Bad Habits,Heat Waves,Without You,Forever After All,Go Crazy,Astronaut in the Ocean,34+35,What You Know Bout Love,My Ex's Best Friend,Industry Baby,Therefore I Am,Up,Fancy Like,Dakiti,Best Friend,Rapstar,Heartbreak Anniversary,For the Night,Calling My Phone,Beautiful Mistakes,Holy,On Me,You Broke Me First,Traitor,Back in Blood,I Hope,Dynamite,Wockesha,You Right,Beat Box,Laugh Now Cry Later,Need to Know,Wants and Needs,Way 2 Sexy,Telepatía,Whoopty,Lemonade,Good Days,Starting Over,Body,Willow,Bang!,Better Together,You're Mines Still,Every Chance I Get,Essence,Chasing After You,The Good Ones,Leave Before You Love Me,Glad You Exist,Lonely,Beggin',Streets,What's Next,Famous Friends,Lil Bit,Thot Shit,Late at Night,Kings & Queens,Anyone,Track Star,Time Today,Cry Baby,All I Want for Christmas Is You,No More Parties,What's Your Country Song,One Too Many,Arcade,Yonaguni,Good Time,If I Didn't Love You,Knife Talk,POV,Just the Way,Take My Breath,We're Good,Hell of a View,Rockin' Around the Christmas Tree,Put Your Records On,Happier Than Ever,Single Saturday Night,Things a Man Oughta Know,Throat Baby (Go Baby),Tombstone,Drinkin' Beer. Talkin' God. Amen.,Todo de Ti
2022,Heat Waves,As It Was,Stay,Easy on Me,Shivers,First Class,Big Energy,Ghost,Super Gremlin,Cold Heart (Pnau remix),Wait for U,About Damn Time,Bad Habits,Thats What I Want,Enemy,Industry Baby,ABCDEFU,Need to Know,Wasted on You,Me Porto Bonito,Woman,Tití Me Preguntó,Running Up That Hill (A Deal with God),We Don't Talk About Bruno,Late Night Talking,I Like You (A Happier Song),You Proof,Bad Habit,Sunroof,One Right Now,Good 4 U,Numb Little Bug,Jimmy Cooks,Til You Can't,Fancy Like,The Kind of Love We Make,I Ain't Worried,Break My Soul,Something in the Orange,Save Your Tears,Smokin out the Window,Levitating,In a Minute,Moscow Mule,You Right,She Had Me at Heads Carolina,Vegas,Pushin P,Buy Dirt,I Hate U,Boyfriend,Glimpse of Us,Surface Pressure,Fall in Love,Love Nwantiti (Ah Ah Ah),Super Freaky Girl,Hrs and Hrs,Sand in My Boots,Mamiii,Knife Talk,AA,Sweetest Pie,Provenza,Essence,All I Want for Christmas Is You,Bam Bam,5 Foot 9,Get Into It (Yuh),Efecto,Rock and a Hard Place,Doin' This,Oh My God,Better Days,Meet Me at Our Spot,Fingers Crossed,All Too Well (Taylor's Version),Party,Después de la Playa,You Should Probably Leave,Rockin' Around the Christmas Tree,Broadway Girls,Take My Name,What Happened to Virgil,Puffin on Zootiez,Like I Love Country Music,Jingle Bell Rock,Ojitos Lindos,Trouble with a Heartbreak,A Holly Jolly Christmas,Kiss Me More,She Likes It,Never Say Never,Damn Strait,She's All I Wanna Be,Last Night Lonely,Flower Shops,To the Moon,Unholy,One Mississippi,Circles Around This Town
